PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,SUNTIK,PIL,KONDOM,IMPLAN,IUD,VASEKTOMI,TUBEKTOMI,MAL,PUS,PUS_KB,PUS_TIDAK_KB,PB,PA,MKJP,KBPP,UNMET_NEED,BULAN,
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,64,25,1,9,3,0,10,0,329,,75,,113,22,,22.7963525835866,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,58,21,0,20,3,0,3,0,183,,23,,105,26,,12.568306010929,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,104,42,4,1,0,0,1,0,185,,0,,153,2,,0,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,71,83,7,27,4,0,11,0,337,,60,,204,42,,17.8041543026706,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,25,50,23,7,16,0,14,0,218,,17,,143,37,,7.79816513761468,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,74,28,2,31,2,0,6,0,319,,88,,143,39,,27.5862068965517,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,46,62,6,9,5,2,5,0,329,,73,,136,21,,22.1884498480243,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,107,45,2,61,2,1,6,0,409,,28,,296,70,,6.84596577017115,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,59,30,3,34,1,0,7,11,217,,15,,146,42,,6.91244239631337,JANUARI,
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,76,37,1,4,1,0,1,0,180,,16,,121,6,,8.88888888888889,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,37,9,1,59,4,0,6,0,165,,14,,116,69,,8.48484848484849,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,37,6,3,40,0,1,8,0,149,,18,,96,49,,12.0805369127517,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,86,18,5,23,5,2,7,0,312,,67,,146,37,,21.474358974359,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,59,29,15,7,7,1,9,0,202,,27,,128,24,,13.3663366336634,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,46,20,5,49,8,0,6,0,203,,19,,134,63,,9.35960591133005,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,31,34,0,30,5,0,3,0,162,,14,,103,38,,8.64197530864197,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,62,5,1,27,1,0,2,0,181,,22,,98,30,,12.1546961325967,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,187,44,1,3,8,0,8,0,377,,51,,254,19,,13.5278514588859,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,266,57,4,25,10,6,16,0,689,,102,,384,57,,14.8040638606676,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,46,24,4,18,5,0,5,0,163,,17,,102,28,,10.4294478527607,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,31,41,30,42,14,0,7,5,280,,40,,171,63,,14.2857142857143,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,45,15,10,25,2,2,7,0,168,,17,,106,36,,10.1190476190476,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,23,8,2,24,4,1,2,0,138,,35,,64,31,,25.3623188405797,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,31,25,2,40,12,0,14,0,249,,27,,124,66,,10.8433734939759,JANUARI,
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,46,29,3,22,5,0,27,1,384,,140,,133,54,,36.4583333333333,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,42,15,6,3,14,2,7,0,225,,47,,89,26,,20.8888888888889,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,25,19,6,4,5,0,4,8,122,,6,,71,13,,4.91803278688525,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,33,23,7,18,15,8,6,0,241,,31,,110,47,,12.8630705394191,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,42,25,7,10,20,0,5,6,185,,19,,117,35,,10.2702702702703,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,30,26,2,3,1,0,4,0,132,,9,,66,8,,6.81818181818182,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,40,31,2,30,4,0,0,0,159,,8,,111,34,,5.0314465408805,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,50,33,4,10,12,0,2,0,299,,55,,111,24,,18.3946488294314,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,190,127,19,42,14,5,5,2,688,,81,,405,66,,11.7732558139535,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,45,21,6,7,14,3,3,0,233,,76,,111,27,,32.618025751073,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,27,10,0,0,0,0,0,0,94,,25,,37,0,,26.5957446808511,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,9,26,8,20,5,0,2,0,116,,7,,70,27,,6.03448275862069,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,42,20,0,6,1,1,1,0,116,,10,,71,9,,8.62068965517241,JANUARI,
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,34,21,1,1,5,1,11,0,133,,26,,74,18,,19.5488721804511,JANUARI,
