PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,ARJO SARI,2.77,1863,672.56,69,313,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BAKKA-BAKKA,3.37,1780,528.19,67,194,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BANUA BARU,1.82,2035,1118.13,76,605,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIAYU,3.79,3069,809.76,79,502,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIMULYO,3.03,1435,473.6,46,390,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,CAMPURJO,2.52,2467,978.97,107,771,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,GALESON,11.1,2734,246.31,191,401,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,3.63,1974,543.8,45,888,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,NEPO,12.2,2429,199.1,159,908,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDODADI,2.21,6380,2886.88,322,810,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDOREJO,2.79,3895,1396.06,164,884,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUGIHWARAS,2.35,4914,2091.06,238,165,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUMBEREJO,4.69,4315,920.04,169,529,
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,TUMPILING,20.14,2205,109.48,79,244,
