PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,MAMUJU,SIMBORO,2009,PATI'DI,808,10,38,68,95,100,102,77,68,53,56,48,30,22,13,10,8,10
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2001,DUNGKAIT,997,40,56,126,107,106,95,68,84,73,63,54,32,27,14,14,12,26
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2002,LEBANI,718,0,31,78,85,97,81,68,45,41,39,49,42,25,14,9,10,4
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2003,LABUANG RANO,1522,53,104,168,198,180,160,120,98,92,91,90,51,41,30,20,17,9
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2004,PASABU,700,0,37,72,97,82,67,49,52,54,63,37,33,16,12,9,10,10
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2005,TANETE PAO,189,8,5,12,25,15,23,11,22,14,16,7,8,2,7,6,3,5
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2006,PANGASAAN,420,0,11,34,52,76,41,34,33,32,37,23,19,5,16,0,1,6
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,2007,AHU,622,0,29,89,69,87,69,59,36,53,37,41,25,5,13,5,1,4
SULAWESI BARAT,MAMUJU,BONEHAU,2001,BONEHAU,545,1,13,42,46,54,65,52,47,42,52,29,40,26,15,13,5,3
SULAWESI BARAT,MAMUJU,BONEHAU,2002,SALUTIWO,351,0,10,33,19,48,45,32,36,29,19,23,17,23,6,5,3,3
SULAWESI BARAT,MAMUJU,BONEHAU,2003,BUTTUADA,547,0,23,52,67,58,44,53,43,43,50,46,34,12,13,4,3,2
SULAWESI BARAT,MAMUJU,BONEHAU,2004,TAMALEA,193,1,17,10,16,34,27,17,8,10,18,13,5,5,6,5,0,1
SULAWESI BARAT,MAMUJU,BONEHAU,2005,LUMIKA,364,2,24,22,33,48,43,27,21,35,46,31,6,12,3,5,4,2
SULAWESI BARAT,MAMUJU,BONEHAU,2006,MAPPU,274,0,5,21,19,35,35,26,16,19,25,21,21,13,9,4,4,1
SULAWESI BARAT,MAMUJU,BONEHAU,2009,BANUADA,283,0,17,26,26,32,37,34,10,18,28,20,14,7,5,7,2,0
SULAWESI BARAT,MAMUJU,BONEHAU,2010,HINUA,339,4,14,22,26,42,37,32,22,23,26,25,20,15,13,8,2,8
SULAWESI BARAT,MAMUJU,BONEHAU,2011,KINATANG,296,0,8,20,23,29,38,33,21,23,21,21,22,8,5,12,6,6
SULAWESI BARAT,MAMUJU,KEP.BALA BALAKANG,2001,BALA BALAKANG,1034,0,39,91,123,132,94,72,101,100,65,71,63,32,26,8,2,15
SULAWESI BARAT,MAMUJU,KEP.BALA BALAKANG,2002,BALA-BALAKANG TIMUR,368,7,11,27,35,39,54,43,40,26,33,18,20,5,5,2,0,3
SULAWESI BARAT,MAMASA,MAMBI,1001,MAMBI,731,13,28,75,66,68,80,53,59,38,52,41,61,32,24,16,8,17
SULAWESI BARAT,MAMASA,MAMBI,1002,TALIPUKKI,571,0,19,56,58,79,84,53,29,32,46,41,31,13,14,5,5,6
SULAWESI BARAT,MAMASA,MAMBI,2004,RANTEBULAHAN,235,0,12,19,16,16,32,20,22,21,16,21,16,4,7,3,6,4
SULAWESI BARAT,MAMASA,MAMBI,2008,SONDONGLAYU,241,0,13,28,19,27,33,29,16,13,18,12,10,6,4,4,2,7
SULAWESI BARAT,MAMASA,MAMBI,2016,SALUBANUA,138,4,4,24,16,22,15,12,9,6,11,6,3,3,2,0,1,0
SULAWESI BARAT,MAMASA,MAMBI,2017,TAPALINA,307,0,17,26,27,31,33,30,28,27,21,21,12,11,8,5,5,5
SULAWESI BARAT,MAMASA,MAMBI,2019,SENDANA,455,0,21,50,54,49,44,31,33,28,47,39,18,18,12,5,5,1
SULAWESI BARAT,MAMASA,MAMBI,2024,PAMOSEAN,189,0,7,28,18,22,20,21,13,10,19,8,8,8,3,0,1,3
SULAWESI BARAT,MAMASA,MAMBI,2025,SELUMAKA,441,0,20,44,66,45,53,39,31,34,35,19,23,14,7,6,4,1
SULAWESI BARAT,MAMASA,MAMBI,2026,BUJUNG MANURUNG,161,0,9,14,12,14,25,9,9,10,11,17,8,8,6,5,2,2
SULAWESI BARAT,MAMASA,MAMBI,2027,SALU ALO,275,0,8,34,28,30,38,24,25,17,14,15,12,9,10,4,5,2
SULAWESI BARAT,MAMASA,MAMBI,2029,INDOBANUA,157,0,0,14,12,19,24,26,14,8,6,7,11,2,3,2,4,5
SULAWESI BARAT,MAMASA,MAMBI,2030,SALUDURIAN,240,0,7,22,32,25,31,21,26,16,12,16,10,9,6,4,2,1
