PROVINSI,KABUPATEN,KECAMATAN,KODE,KELURAHAN,Jumlah_Penduduk,Umur 0 - 1,Umur 2 - 4,Umur 5 - 9,Umur 10 - 14,Umur 15 - 19,Umur 20 - 24,Umur 25 - 29,Umur 30 - 34,Umur 35 - 39,Umur 40 - 44,Umur 45 - 49,Umur 50 - 54,Umur 55 - 59,Umur 60 - 64,Umur 65 - 69,Umur 70 - 74,Umur 75+
SULAWESI BARAT,MAMUJU,SAMPAGA,2001,BUNDE,1907,45,87,170,181,167,187,132,125,134,150,140,137,90,71,49,21,21
SULAWESI BARAT,MAMUJU,SAMPAGA,2002,KALONDING,1587,40,72,139,152,140,127,114,106,145,144,120,90,63,55,42,19,19
SULAWESI BARAT,MAMUJU,SAMPAGA,2003,TARAILU,1475,44,77,154,139,151,110,119,99,101,118,97,92,64,45,34,16,15
SULAWESI BARAT,MAMUJU,SAMPAGA,2004,SAMPAGA,763,0,50,83,96,73,87,57,68,54,48,37,31,28,21,8,17,5
SULAWESI BARAT,MAMUJU,SAMPAGA,2005,TANAMBUAH,283,0,14,18,16,31,36,27,21,19,17,20,30,13,7,3,5,6
SULAWESI BARAT,MAMUJU,SAMPAGA,2006,SALUBARANA,391,9,21,34,33,39,41,29,29,27,30,20,29,17,10,7,8,8
SULAWESI BARAT,MAMUJU,SAMPAGA,2007,LOSSO,528,0,28,50,56,42,60,49,51,38,41,26,24,23,11,6,7,16
SULAWESI BARAT,MAMUJU,TOMMO,2001,TOMMO,851,0,40,96,79,81,65,60,60,58,81,66,76,30,22,14,12,11
SULAWESI BARAT,MAMUJU,TOMMO,2002,CAMPALOGA,983,9,37,83,99,116,101,67,66,71,90,71,78,42,31,14,4,4
SULAWESI BARAT,MAMUJU,TOMMO,2003,BUANA SAKTI,729,0,21,59,64,63,68,56,67,56,52,38,56,36,24,27,23,19
SULAWESI BARAT,MAMUJU,TOMMO,2004,TAMEMONGGA,641,10,26,68,64,82,55,43,44,51,59,46,49,18,14,4,5,3
SULAWESI BARAT,MAMUJU,TOMMO,2005,TAMEJARRA,669,0,28,68,94,80,47,57,43,55,45,37,50,25,15,14,3,8
